pr_id,pr_number,title,agent,user,state,created_at,merged_at,repo_url,total_additions,total_deletions,total_changes,files_touched,num_commits,net_change,churn_ratio,size_category
3214876564,5490,fix: critical issues in action chaining implementation,Claude_Code,wtfsayo,closed,2025-07-09T07:39:31Z,2025-07-09T08:35:49Z,https://api.github.com/repos/elizaOS/eliza,331,52,383,5,7,279,0.15709969788519637,M
3215730319,157910,Fix logdet returning finite values for singular matrices on CUDA ,Claude_Code,soumith,open,2025-07-09T12:13:49Z,,https://api.github.com/repos/pytorch/pytorch,260,25,285,3,4,235,0.09615384615384616,M
3215868710,2454,feat: add split-pr command for managing large pull requests,Claude_Code,NoritakaIkeda,closed,2025-07-09T12:58:34Z,2025-07-10T02:27:03Z,https://api.github.com/repos/liam-hq/liam,48,0,48,1,2,48,0.0,S
3216678691,3584,IOS-4845 Update CLAUDE.md to prevent AI signatures in commits,Claude_Code,ignatovv,closed,2025-07-09T17:40:20Z,2025-07-10T08:37:29Z,https://api.github.com/repos/anyproto/anytype-swift,32,0,32,1,1,32,0.0,S
3216706697,32609,feat: Add comprehensive GitHub Actions workflow documentation,Claude_Code,spbolton,closed,2025-07-09T17:50:59Z,2025-07-14T15:38:38Z,https://api.github.com/repos/dotCMS/core,5960,850,6810,61,4,5110,0.14261744966442952,XL
3216793862,467,fix(shell): all shellcheck issues (except quotes),Claude_Code,kojiromike,closed,2025-07-09T18:32:11Z,2025-07-16T17:20:46Z,https://api.github.com/repos/openemr/openemr-devops,163,90,253,5,1,73,0.5521472392638037,M
3164503419,40,Fix Claude animation flickering with vt10x-inspired terminal state deduplication,Claude_Code,hjanuschka,closed,2025-06-20T22:47:18Z,,https://api.github.com/repos/amantus-ai/vibetunnel,1445,140,1585,12,2,1305,0.09688581314878893,XL
3164567685,1008,fix: Complete removal of all mock/placeholder code and fix signature validation (#1007),Claude_Code,AtlantisPleb,closed,2025-06-20T23:58:26Z,2025-06-21T00:01:28Z,https://api.github.com/repos/OpenAgentsInc/openagents,853,370,1223,11,2,483,0.43376318874560377,L
3164736230,1017,feat: Implement autonomous marketplace agent (Issue #1013),Claude_Code,AtlantisPleb,closed,2025-06-21T04:11:13Z,2025-06-21T04:23:01Z,https://api.github.com/repos/OpenAgentsInc/openagents,851,66,917,3,2,785,0.07755581668625147,L
3165023078,100,Convert to typescript,Claude_Code,jefago,closed,2025-06-21T11:39:26Z,2025-06-23T14:18:25Z,https://api.github.com/repos/jefago/tiny-markdown-editor,3686,2928,6614,18,3,758,0.7943570265870863,XL
3165060364,1021,"feat: Implement NIPs from SNSTR, nostr-tools, and NDK (Issue #913)",Claude_Code,AtlantisPleb,closed,2025-06-21T12:39:38Z,2025-06-21T12:53:43Z,https://api.github.com/repos/OpenAgentsInc/openagents,8940,39,8979,36,4,8901,0.00436241610738255,XL
3165146820,1022,docs: Clean up nostr package and add comprehensive documentation,Claude_Code,AtlantisPleb,closed,2025-06-21T14:51:42Z,2025-06-21T14:52:03Z,https://api.github.com/repos/OpenAgentsInc/openagents,1043,21,1064,3,1,1022,0.020134228187919462,XL
3165176791,1664,feat: Add T-SQL dialect support,Claude_Code,Fank,closed,2025-06-21T15:36:30Z,2025-06-23T17:22:47Z,https://api.github.com/repos/quarylabs/sqruff,10781,6302,17083,91,30,4479,0.5845468880437807,XL
3165407647,52,feat: Add Behat BDD testing framework integration,Claude_Code,YOzaz,closed,2025-06-21T20:39:24Z,2025-06-21T21:47:07Z,https://api.github.com/repos/FinAegis/core-banking-prototype-laravel,2971,144,3115,13,6,2827,0.04846852911477617,XL
3165431934,1028,feat: Update slides presentation with new content and improvements,Claude_Code,AtlantisPleb,closed,2025-06-21T21:09:49Z,2025-06-21T21:11:43Z,https://api.github.com/repos/OpenAgentsInc/openagents,301,115,416,11,6,186,0.38205980066445183,M
3165440543,1030,Fix agents page module resolution error and update slides presentation,Claude_Code,AtlantisPleb,closed,2025-06-21T21:22:44Z,,https://api.github.com/repos/OpenAgentsInc/openagents,301,116,417,12,7,185,0.3853820598006645,M
3165441855,1031,fix: Remove SDK import causing module resolution error on agents page,Claude_Code,AtlantisPleb,closed,2025-06-21T21:25:18Z,2025-06-21T22:53:43Z,https://api.github.com/repos/OpenAgentsInc/openagents,0,1,1,1,1,-1,1.0,XS
3165503646,1033,fix: Replace REST API with WebSocket for agent spawning,Claude_Code,AtlantisPleb,closed,2025-06-21T23:31:28Z,2025-06-21T23:33:46Z,https://api.github.com/repos/OpenAgentsInc/openagents,250,42,292,1,1,208,0.168,M
3271660213,81,feat: upgrade to Expo SDK 53 with modern architecture and tooling,Claude_Code,wataru-maeda,closed,2025-07-29T01:30:22Z,2025-07-29T02:08:57Z,https://api.github.com/repos/wataru-maeda/react-native-boilerplate,6612,6136,12748,27,12,476,0.9280096793708409,XL
3271740125,82,docs: improve README structure and add comprehensive script documentation,Claude_Code,wataru-maeda,closed,2025-07-29T02:29:12Z,2025-07-29T02:29:33Z,https://api.github.com/repos/wataru-maeda/react-native-boilerplate,96,67,163,1,3,29,0.6979166666666666,S
3271748860,1727,fix: handle PUT/UPDATE operations when gateway has no peer connections,Claude_Code,sanity,closed,2025-07-29T02:33:02Z,2025-07-29T23:22:04Z,https://api.github.com/repos/freenet/freenet-core,360,75,435,5,7,285,0.20833333333333334,M
3271943252,4158,fix: add comprehensive global readonly superuser endpoint testing (PROJQUAY-8279),Claude_Code,HammerMeetNail,open,2025-07-29T04:05:39Z,,https://api.github.com/repos/quay/quay,1745,49,1794,22,2,1696,0.028080229226361032,XL
3271988317,1264,feat: Complete Convex→Confect migration + Device sync research and APM improvements,Claude_Code,AtlantisPleb,closed,2025-07-29T04:20:34Z,2025-07-29T04:39:44Z,https://api.github.com/repos/OpenAgentsInc/openagents,12723,2156,14879,75,21,10567,0.16945688909848305,XL
3272275087,114,feat: Add tag support for API Keys and fix OAuth token exchange,Claude_Code,Alfonsxh,closed,2025-07-29T06:22:16Z,,https://api.github.com/repos/Wei-Shaw/claude-relay-service,486,157,643,6,1,329,0.3230452674897119,M
3272397381,273,Fix: Preserve empty string config values in StripConfig,Claude_Code,davidvasandani,open,2025-07-29T07:03:08Z,,https://api.github.com/repos/lxc/terraform-provider-incus,76,0,76,2,1,76,0.0,S
3272907868,182,feat: Implement secure blockchain key storage with encryption and audit logging,Claude_Code,YOzaz,closed,2025-07-29T09:37:27Z,2025-07-29T11:34:13Z,https://api.github.com/repos/FinAegis/core-banking-prototype-laravel,2115,206,2321,16,3,1909,0.09739952718676123,XL
3273233066,1037,feat: implement comprehensive species tracking system with seasonal/yearly detection badges,Claude_Code,tphakala,closed,2025-07-29T11:21:11Z,2025-07-29T13:49:45Z,https://api.github.com/repos/tphakala/birdnet-go,6964,1389,8353,34,30,5575,0.19945433658816772,XL
3273243547,5828,"fix(tool-stub): use URL hash as version for HTTP backend with ""latest""",Claude_Code,jdx,closed,2025-07-29T11:24:35Z,2025-07-29T11:37:23Z,https://api.github.com/repos/jdx/mise,17,2,19,1,1,15,0.11764705882352941,S
3273580906,61007,management-api-for-apache-cassandra-5.0: update to v0.1.106,Claude_Code,dnegreira,closed,2025-07-29T13:05:00Z,,https://api.github.com/repos/wolfi-dev/os,30,18,48,2,1,12,0.6,S
3273752719,512,📚 Comprehensive Maestro Workflow Guide & Documentation,Claude_Code,tommy-ca,closed,2025-07-29T13:55:31Z,2025-07-29T15:29:02Z,https://api.github.com/repos/ruvnet/claude-flow,45949,29090,75039,121,4,16859,0.633093212039435,XL
3274038425,519,"Alpha.78: Agent System Fix, Hooks Improvements & GitHub CLI Safety",Claude_Code,ruvnet,closed,2025-07-29T15:17:16Z,2025-07-29T15:18:42Z,https://api.github.com/repos/ruvnet/claude-flow,807,100,907,15,6,707,0.12391573729863693,L
3219102497,7692,Test version update error handling,Claude_Code,tkoyama010,closed,2025-07-10T12:10:30Z,,https://api.github.com/repos/pyvista/pyvista,1789,2100,3889,90,30,-311,1.1738401341531581,XL
3219880512,10340,feat(backend): Integrate GCS file storage with automatic expiration for Agent File Input,Claude_Code,majdyz,closed,2025-07-10T15:52:56Z,2025-07-18T03:20:54Z,https://api.github.com/repos/Significant-Gravitas/AutoGPT,118069,39056,157125,387,28,79013,0.33078962301704934,XL
3220223180,86,[DEV] Triton-viz Visualizer 2.0,Claude_Code,mark14wu,closed,2025-07-10T18:07:19Z,2025-07-11T17:03:16Z,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,3047,697,3744,25,8,2350,0.2287495897604201,XL
3220367089,936,Fix race conditions in myaudio package,Claude_Code,tphakala,closed,2025-07-10T19:01:53Z,2025-07-10T19:07:35Z,https://api.github.com/repos/tphakala/birdnet-go,158,90,248,8,3,68,0.569620253164557,M
3221520140,157,fix: unify static file paths across Deno and Node.js builds,Claude_Code,sugyan,closed,2025-07-11T04:54:23Z,2025-07-11T04:57:44Z,https://api.github.com/repos/sugyan/claude-code-webui,11,8,19,4,2,3,0.7272727272727273,S
3222101465,2520,♻️ Refactor database schema design workflow to use function agents and messages,Claude_Code,MH4GF,closed,2025-07-11T08:45:31Z,2025-07-14T03:57:13Z,https://api.github.com/repos/liam-hq/liam,255,260,515,12,3,-5,1.0196078431372548,M
2876006908,3375,Improve list and collection materializers performance,Claude_Code,strickvl,closed,2025-02-24T19:52:57Z,,https://api.github.com/repos/zenml-io/zenml,825,229,1054,6,7,596,0.2775757575757576,L
2876533575,3651,Clarify error message for missing plugin versions,Claude_Code,iainmcgin,closed,2025-02-25T00:48:56Z,,https://api.github.com/repos/bufbuild/buf,62,1,63,1,1,61,0.016129032258064516,S
2882576893,158,docs: add CLAUDE.md for development guidance,Claude_Code,ashwin-ant,closed,2025-02-26T19:15:09Z,2025-03-01T00:24:19Z,https://api.github.com/repos/modelcontextprotocol/inspector,33,0,33,1,1,33,0.0,S
2883083776,163,Add CLAUDE.md with SDK development guide,Claude_Code,ashwin-ant,closed,2025-02-27T00:12:26Z,2025-02-27T09:47:35Z,https://api.github.com/repos/modelcontextprotocol/typescript-sdk,25,0,25,1,1,25,0.0,S
2883609845,258,Upgrade to Go 1.24 and update dependencies,Claude_Code,umputun,closed,2025-02-27T06:55:13Z,2025-02-27T06:59:34Z,https://api.github.com/repos/umputun/spot,331256,312167,643423,95,1,19089,0.9423738739826599,XL
2886171819,108,Fix assertion error in UniPC scheduler for high step counts,Claude_Code,g7adrian,closed,2025-02-28T04:36:11Z,,https://api.github.com/repos/Wan-Video/Wan2.1,2,2,4,1,1,0,1.0,XS
2888099084,16510,chore: add CLAUDE.md with development guide,Claude_Code,trevorwhitney,closed,2025-02-28T21:35:36Z,2025-03-03T18:21:22Z,https://api.github.com/repos/grafana/loki,35,0,35,1,1,35,0.0,S
2888185420,8624,No-switching-tab-on-slice,Claude_Code,kennethjiang,closed,2025-02-28T22:44:18Z,,https://api.github.com/repos/SoftFever/OrcaSlicer,2455,1554,4009,74,30,901,0.6329938900203665,XL
2888657232,126,Fix assertion error in UniPC scheduler for high step counts,Claude_Code,g7adrian,open,2025-03-01T06:33:05Z,,https://api.github.com/repos/Wan-Video/Wan2.1,2,2,4,1,1,0,1.0,XS
2889835337,60,feat: Add Amazon Bedrock integration,Claude_Code,danieldavidson,closed,2025-03-02T22:42:01Z,,https://api.github.com/repos/mrwadams/stride-gpt,646,17,663,7,1,629,0.02631578947368421,L
2889875255,61,feat: Add Amazon Bedrock integration,Claude_Code,danieldavidson,closed,2025-03-03T00:08:53Z,,https://api.github.com/repos/mrwadams/stride-gpt,596,40,636,7,3,556,0.06711409395973154,L
2889940236,70,fix: improve authentication with token refresh and expiry handling,Claude_Code,SpirusNox,closed,2025-03-03T01:24:36Z,2025-03-05T14:57:34Z,https://api.github.com/repos/rishikanthc/Scriberr,605,327,932,6,1,278,0.540495867768595,L
2889940415,71,feat: enhance audio quality for playback,Claude_Code,SpirusNox,closed,2025-03-03T01:24:48Z,2025-03-05T14:57:34Z,https://api.github.com/repos/rishikanthc/Scriberr,1182,1117,2299,7,1,65,0.9450084602368867,XL
2892364501,1592,Add no_jobs_exit_timeout parameter to WorkerOptions,Claude_Code,nicocesar,open,2025-03-03T21:33:32Z,,https://api.github.com/repos/livekit/agents,44,0,44,2,2,44,0.0,S
2892443818,11,example-demo: Add interactive token visualization with connecting lines,Claude_Code,rjeli,closed,2025-03-03T22:15:41Z,,https://api.github.com/repos/belladoreai/llama3-tokenizer-js,12525,39,12564,11,2,12486,0.0031137724550898203,XL
2894762370,1371,feat: add AWS Bedrock support,Claude_Code,jxnl,closed,2025-03-04T16:03:56Z,,https://api.github.com/repos/567-labs/instructor,236,11,247,5,1,225,0.046610169491525424,M
3246635062,341,Quad-damage-enhancements,Claude_Code,lucaschallamel,closed,2025-07-20T19:54:23Z,,https://api.github.com/repos/bmadcode/BMAD-METHOD,99288,24311,123599,184,10,74977,0.24485335589396504,XL
3246680171,386,Add CLAUDE.md for development guidelines,Claude_Code,max-sixty,closed,2025-07-20T20:44:44Z,2025-07-20T20:47:58Z,https://api.github.com/repos/numbagg/numbagg,55,2,57,1,2,53,0.03636363636363636,S
3246681942,387,Update Python version to 3.12 and uv lockfile,Claude_Code,max-sixty,closed,2025-07-20T20:45:38Z,2025-07-20T21:41:12Z,https://api.github.com/repos/numbagg/numbagg,94,86,180,6,4,8,0.9148936170212766,S
3246684833,388,Add `move_nancorrmatrix` and `move_nancovmatrix` functions,Claude_Code,max-sixty,closed,2025-07-20T20:48:50Z,2025-07-20T21:36:10Z,https://api.github.com/repos/numbagg/numbagg,776,351,1127,10,3,425,0.452319587628866,L
3246764807,390,Add exponential moving matrix functions,Claude_Code,max-sixty,closed,2025-07-20T23:05:04Z,2025-07-20T23:40:21Z,https://api.github.com/repos/numbagg/numbagg,1004,4,1008,6,1,1000,0.00398406374501992,XL
3246796582,391,Avoid special-casing diagonals in matrix calcs,Claude_Code,max-sixty,closed,2025-07-20T23:54:15Z,2025-07-20T23:57:18Z,https://api.github.com/repos/numbagg/numbagg,49,73,122,3,1,-24,1.489795918367347,S
3262310380,713,refactor: rename chain_dag to chain_let for semantic clarity,Claude_Code,lmeyerov,closed,2025-07-25T07:41:02Z,,https://api.github.com/repos/graphistry/pygraphistry,8575,119,8694,14,3,8456,0.013877551020408163,XL
3262649320,514,fix: implement comprehensive LiveStore events API with streaming and advanced filtering,Claude_Code,schickling,open,2025-07-25T09:48:33Z,,https://api.github.com/repos/livestorejs/livestore,1828,601,2429,37,13,1227,0.3287746170678337,XL
3263199127,580,Fix multiline function signature parsing,Claude_Code,KristofferC,open,2025-07-25T13:14:05Z,,https://api.github.com/repos/JuliaLang/JuliaSyntax.jl,14,1,15,2,1,13,0.07142857142857142,S
3263692368,32088,fix(misc): validate workspace names to reject names starting with numbers,Claude_Code,ndcunningham,open,2025-07-25T15:58:30Z,,https://api.github.com/repos/nrwl/nx,90,1,91,3,1,89,0.011111111111111112,S
3263934382,1179,Implement Two-way Claude Code Session Sync between Desktop and Mobile Apps,Claude_Code,AtlantisPleb,closed,2025-07-25T17:40:17Z,2025-07-25T18:31:51Z,https://api.github.com/repos/OpenAgentsInc/openagents,2180,50,2230,17,9,2130,0.022935779816513763,XL
3098322647,6952,feat: add --catalog-only flag to run bundle command,Claude_Code,kaovilai,closed,2025-05-28T19:12:52Z,,https://api.github.com/repos/operator-framework/operator-sdk,20,0,20,1,1,20,0.0,S
3098972655,31380,chore(repo): setup claude code,Claude_Code,FrozenPandaz,closed,2025-05-29T02:21:07Z,2025-05-30T22:14:12Z,https://api.github.com/repos/nrwl/nx,675,20,695,13,2,655,0.02962962962962963,L
3142181649,19,Replace CLI subprocess approach with Claude Code SDK,Claude_Code,sugyan,closed,2025-06-13T04:05:15Z,2025-06-13T14:14:33Z,https://api.github.com/repos/sugyan/claude-code-webui,199,164,363,4,5,35,0.8241206030150754,M
3142373237,5,feat: Add scan command with AI model search and parallel config generation,Claude_Code,dai-motoki,closed,2025-06-13T06:06:11Z,2025-06-13T10:34:12Z,https://api.github.com/repos/dai-motoki/haconiwa,8031,68,8099,47,2,7963,0.008467189640144441,XL
3144015338,883,Fix: CoreSimulator API compatibility for Xcode 16+,Claude_Code,arkavo-com,closed,2025-06-13T15:53:50Z,,https://api.github.com/repos/facebook/idb,11675,719,12394,153,30,10956,0.06158458244111349,XL
3145238894,30,Implement bottom-to-top message flow with auto-scroll,Claude_Code,sugyan,closed,2025-06-14T01:15:09Z,,https://api.github.com/repos/sugyan/claude-code-webui,68,20,88,1,1,48,0.29411764705882354,S
3145249026,31,Implement bottom-to-top message flow layout,Claude_Code,sugyan,closed,2025-06-14T01:25:30Z,2025-06-14T01:32:44Z,https://api.github.com/repos/sugyan/claude-code-webui,36,22,58,1,3,14,0.6111111111111112,S
3145923591,45,Feat/lerobot integration,Claude_Code,devsodhirao,open,2025-06-14T09:48:27Z,,https://api.github.com/repos/GetSoloTech/solo-server,3639,1076,4715,16,4,2563,0.29568562791975816,XL
3146518192,405,Add Python 3.14 and Windows ARM64 support to CI,Claude_Code,JessicaTegner,closed,2025-06-14T18:34:45Z,,https://api.github.com/repos/JessicaTegner/pypandoc,3,3,6,1,1,0,1.0,XS
3146561196,511,feat: add version management scripts and CI check,Claude_Code,jerome3o-anthropic,closed,2025-06-14T18:53:08Z,2025-06-17T20:31:21Z,https://api.github.com/repos/modelcontextprotocol/inspector,595,101,696,11,3,494,0.16974789915966387,L
3165597086,80,Implement automated demo recording CI/CD pipeline (closes #68),Claude_Code,sugyan,closed,2025-06-22T02:21:35Z,2025-06-22T13:55:42Z,https://api.github.com/repos/sugyan/claude-code-webui,1363,888,2251,6,6,475,0.6515040352164343,XL
3165662397,144,feat: add proxy support for network-restricted environments,Claude_Code,yonghao2011,open,2025-06-22T04:55:44Z,,https://api.github.com/repos/ryoppippi/ccusage,26,2,28,2,1,24,0.07692307692307693,S
3165677582,5,Refactor: Transform to GitHub Issue Management System (#1),Claude_Code,nakamasato,closed,2025-06-22T05:31:32Z,,https://api.github.com/repos/Akira-Papa/Claude-Code-Communication,2495,1287,3782,24,5,1208,0.5158316633266533,XL
3165750951,53,feat: Complete Phase 5 - Real Bank Integration & API Documentation,Claude_Code,YOzaz,closed,2025-06-22T07:56:44Z,2025-06-22T09:09:02Z,https://api.github.com/repos/FinAegis/core-banking-prototype-laravel,6438,1393,7831,19,8,5045,0.21637154395775085,XL
3199027461,859,feat(notification): add structured logging with privacy scrubbing,Claude_Code,tphakala,closed,2025-07-03T11:19:47Z,2025-07-03T12:55:44Z,https://api.github.com/repos/tphakala/birdnet-go,1461,297,1758,13,18,1164,0.2032854209445585,XL
3199564335,4299,Fix parsing to better handle branch/tag/subdir specifiers in complex URLs and paths,Claude_Code,KristofferC,closed,2025-07-03T14:16:59Z,2025-07-05T07:12:24Z,https://api.github.com/repos/JuliaLang/Pkg.jl,773,308,1081,6,9,465,0.3984476067270375,L
3199623142,906,feat: create docs-v2 structure with diataxis framework,Claude_Code,felixweinberger,closed,2025-07-03T14:35:56Z,2025-07-03T15:49:12Z,https://api.github.com/repos/modelcontextprotocol/modelcontextprotocol,772,35,807,60,2,737,0.04533678756476684,L
3200679276,4304,Implement lazy loading for RegistryInstance to improve latency in operations where the registry does not need to be read,Claude_Code,KristofferC,closed,2025-07-03T21:18:03Z,2025-07-04T08:34:04Z,https://api.github.com/repos/JuliaLang/Pkg.jl,59,29,88,1,1,30,0.4915254237288136,S
3200698874,59,🚀 Claude-Flow v2.0.0 Enterprise Release - Complete ruv-swarm Intelligence Integration,Claude_Code,ruvnet,closed,2025-07-03T21:28:15Z,,https://api.github.com/repos/ruvnet/ruv-FANN,560,1,561,3,1,559,0.0017857142857142857,L
3200946614,121,fix: replace unreliable FedericoCarboni/setup-ffmpeg with apt-get install,Claude_Code,sugyan,closed,2025-07-04T00:33:24Z,2025-07-04T00:39:34Z,https://api.github.com/repos/sugyan/claude-code-webui,4,5,9,1,1,-1,1.25,XS
3201567268,17613,stm32/eth: Improve Ethernet driver with link detection and static IP support.,Claude_Code,andrewleech,open,2025-07-04T06:53:52Z,,https://api.github.com/repos/micropython/micropython,307,222,529,6,4,85,0.7231270358306189,M
3202135682,4306,Fix reference_manifest_isolated_test to use temporary directory,Claude_Code,KristofferC,closed,2025-07-04T10:21:09Z,2025-07-04T12:21:04Z,https://api.github.com/repos/JuliaLang/Pkg.jl,24,18,42,1,2,6,0.75,S
3202692899,68,feat: Epic #66 - Global and Local Scopes for ruv-swarm (100% Complete),Claude_Code,jedarden,closed,2025-07-04T13:05:46Z,,https://api.github.com/repos/ruvnet/ruv-FANN,3466,160,3626,18,9,3306,0.04616272360069244,XL
3203032594,75,fix: Resolve Issue #12 - MCP Server Discovery and Tool Registration Reliability,Claude_Code,ruvnet,closed,2025-07-04T14:54:57Z,2025-07-04T14:57:18Z,https://api.github.com/repos/ruvnet/ruv-FANN,2372,424,2796,24,2,1948,0.178752107925801,XL
3250080019,24542,[fix][broker]Fix thread safety issues in BucketDelayedDeliveryTracker with StampedLock optimistic reads,Claude_Code,Apurva007,closed,2025-07-21T21:21:39Z,2025-07-22T06:17:01Z,https://api.github.com/repos/apache/pulsar,944,24,968,4,2,920,0.025423728813559324,L
3250173556,393,Add exponential moving matrix functions to benchmarks,Claude_Code,max-sixty,closed,2025-07-21T22:10:53Z,2025-07-22T00:51:53Z,https://api.github.com/repos/numbagg/numbagg,401,157,558,6,3,244,0.3915211970074813,M
3250200794,394,Refactor matrix functions for fixed dimension conventions,Claude_Code,max-sixty,closed,2025-07-21T22:25:43Z,2025-07-21T22:29:10Z,https://api.github.com/repos/numbagg/numbagg,713,883,1596,9,1,-170,1.238429172510519,L
3250235391,940,"[UI/UX] Implement Frontend Alias System: Rename ""Trading"" Skill → ""Crypto Trading""",Claude_Code,github-actions[bot],closed,2025-07-21T22:43:06Z,,https://api.github.com/repos/recallnet/js-recall,806,1000,1806,7,5,-194,1.2406947890818858,L
3250272016,396,Clarify axis parameter behavior in README,Claude_Code,max-sixty,closed,2025-07-21T22:58:47Z,2025-07-21T23:32:28Z,https://api.github.com/repos/numbagg/numbagg,53,2,55,1,1,51,0.03773584905660377,S
3250477735,397,Optimize nancorrmatrix and nancovmatrix for cache locality,Claude_Code,max-sixty,closed,2025-07-22T00:19:55Z,2025-07-22T00:28:17Z,https://api.github.com/repos/numbagg/numbagg,88,71,159,2,1,17,0.8068181818181818,S
3250746691,61,Add Hot Reload Feature with File Watching and Manual Refresh,Claude_Code,yukukotani,closed,2025-07-22T02:32:51Z,2025-07-27T10:28:52Z,https://api.github.com/repos/yoshiko-pg/difit,2724,696,3420,18,15,2028,0.2555066079295154,XL
3251370397,13,feat: strip openrouter/ prefix from model name,Claude_Code,thiswillbeyourgithub,closed,2025-07-22T06:55:53Z,2025-07-30T00:35:36Z,https://api.github.com/repos/ujisati/claude-code-provider-proxy,45,17,62,1,2,28,0.37777777777777777,S
